Onset,Duration,Annotation
2014-04-08T21:19:36.6020000,255.931000,segment
2014-04-08T21:24:00.9270000,250.000000,segment
2014-04-08T21:29:04.1200000,123.175000,segment
2014-04-08T21:31:12.6780000,138.686000,segment
2014-04-08T21:33:55.4520000,107.208000,segment
2014-04-08T21:36:08.1160000,44.708000,segment
2014-04-08T21:37:13.3540000,64.781000,segment
2014-04-08T21:38:42.6780000,41.058000,segment
2014-04-08T21:40:42.1130000,54.288000,segment
2014-04-08T21:43:20.1420000,203.011000,segment
2014-04-08T21:47:11.8020000,52.920000,segment
2014-04-08T21:48:13.9370000,250.000000,segment
2014-04-08T21:53:16.6750000,170.164000,segment
2014-04-08T21:56:13.1350000,44.708000,segment
2014-04-08T21:57:03.1350000,58.850000,segment
2014-04-08T21:58:16.2180000,140.511000,segment
2014-04-08T22:00:41.3830000,57.026000,segment
2014-04-08T22:02:09.9780000,98.084000,segment
2014-04-08T22:04:53.7550000,433.394000,segment
2014-04-08T22:12:14.9960000,80.748000,segment
2014-04-08T22:13:42.2220000,158.303000,segment
2014-04-08T22:16:32.2950000,108.577000,segment
2014-04-08T22:19:14.1560000,173.358000,segment
2014-04-08T22:24:10.0510000,78.011000,segment
2014-04-08T22:28:54.7220000,38.777000,segment
2014-04-08T22:30:21.4920000,39.234000,segment
2014-04-08T22:31:07.6600000,72.536000,segment
2014-04-08T22:33:02.9890000,220.347000,segment
2014-04-08T22:36:50.3610000,219.891000,segment
2014-04-08T22:44:20.4520000,59.307000,segment
2014-04-08T22:45:56.1640000,218.522000,segment
2014-04-08T22:50:31.7110000,56.113000,segment
2014-04-08T22:51:54.8320000,71.168000,segment
2014-04-08T22:53:17.4960000,76.186000,segment
2014-04-08T22:55:26.6930000,93.066000,segment
2014-04-08T22:57:26.5830000,78.923000,segment
2014-04-08T22:59:23.9190000,75.730000,segment
2014-04-08T23:02:39.3570000,74.818000,segment
2014-04-08T23:06:39.5940000,134.580000,segment
2014-04-08T23:10:36.5470000,58.850000,segment
2014-04-08T23:13:46.0540000,88.504000,segment
