Onset,Duration,Annotation
2014-04-08T21:19:53.6340000,20.121000,segment
2014-04-08T21:20:14.2400000,25.697000,segment
2014-04-08T21:21:10.0200000,24.970000,segment
2014-04-08T21:21:40.4630000,45.818000,segment
2014-04-08T21:22:38.5230000,24.364000,segment
2014-04-08T21:23:33.2430000,34.537,segment
2014-04-08T21:25:16.4630000,74.146,segment
2014-04-08T21:26:35.3900000,29.333000,segment
2014-04-08T21:27:23.6520000,17.818000,segment
2014-04-08T21:28:01.1460000,40.585,segment
2014-04-08T21:28:51.8780000,24.195,segment
2014-04-08T21:29:44.3650000,31.61,segment
2014-04-08T21:30:53.0480000,45.073,segment
2014-04-08T21:34:53.1460000,29.854,segment
2014-04-08T21:36:22.7070000,37.659,segment
2014-04-08T21:37:16.9510000,38.634,segment
2014-04-08T21:37:58.3170000,24.39,segment
2014-04-08T21:38:36.3650000,37.659,segment
2014-04-08T21:39:20.5600000,22.829,segment
2014-04-08T21:39:46.5120000,14.049,segment
2014-04-08T21:40:06.4140000,37.659,segment
2014-04-08T21:40:58.1210000,26.146,segment
2014-04-08T21:43:18.7070000,30.829,segment
2014-04-08T21:44:35.1950000,26.146,segment
2014-04-08T21:45:08.2680000,72.585,segment
2014-04-08T21:47:38.9020000,29.463,segment
2014-04-08T21:48:44.2680000,43.317,segment
2014-04-08T21:49:40.8530000,30.634,segment
2014-04-08T21:51:31.0970000,52.098,segment
2014-04-08T21:53:32.0730000,66.927,segment
2014-04-08T21:54:59.4870000,31.22,segment
2014-04-08T21:57:18.0240000,19.512,segment
2014-04-08T21:58:15.3900000,42.927,segment
2014-04-08T22:00:51.1950000,24.585,segment
2014-04-08T22:04:09.8290000,26.732,segment
2014-04-08T22:17:07.8780000,18.537,segment
2014-04-08T22:17:49.1460000,29.659,segment
2014-04-08T22:19:06.1210000,29.073,segment
2014-04-08T22:20:20.5600000,41.171,segment
2014-04-08T22:24:23.3900000,37.073,segment
2014-04-08T22:29:02.1210000,20.878,segment
2014-04-08T22:30:38.9020000,38.829,segment
2014-04-08T22:32:58.0240000,35.707,segment
2014-04-08T22:33:38.6090000,37.073,segment
2014-04-08T22:37:24.0730000,25.171,segment
2014-04-08T22:39:45.8290000,39.805,segment
2014-04-08T22:45:57.2430000,46.244,segment
2014-04-08T22:51:44.5600000,27.122,segment
2014-04-08T22:52:23.5850000,21.268,segment
2014-04-08T23:00:12.1700000,30.244,segment
2014-04-08T23:04:47.0000000,27.512,segment
2014-04-08T23:07:27.3900000,71.61,segment
2014-04-08T23:11:55.1950000,37.659,segment
2014-04-08T23:12:59.9750000,66.341,segment
2014-04-08T23:14:28.7560000,33.951,segment
2014-04-08T23:15:12.9510000,32.976,segment
