Onset,Duration,Annotation
2014-04-08T21:20:36.0650000,221.715000,segment
2014-04-08T21:24:47.4520000,601.277000,segment
2014-04-08T21:34:52.5590000,208.942000,segment
2014-04-08T21:39:44.3640000,153.27,segment
2014-04-08T21:54:57.6490000,89.416000,segment
2014-04-08T21:57:41.8430000,24.635000,segment
2014-04-08T21:59:04.9500000,39.708,segment
2014-04-08T22:00:11.1480000,26.642000,segment
2014-04-08T22:01:07.4250000,90.328000,segment
2014-04-08T22:02:43.2280000,89.051000,segment
2014-04-08T22:04:17.1330000,56.934000,segment
2014-04-08T22:05:21.3670000,197.993000,segment
2014-04-08T22:08:52.3780000,33.759000,segment
2014-04-08T22:09:53.2213649,113.504000,segment
2014-04-08T22:12:37.5030000,20.803000,segment
2014-04-08T22:13:46.3350000,33.394000,segment
2014-04-08T22:15:00.7510000,60.401000,segment
2014-04-08T22:16:16.8460000,79.015000,segment
2014-04-08T22:17:41.8710000,27.920000,segment
2014-04-08T22:18:28.9510000,80.474000,segment
2014-04-08T22:19:58.8780000,60.584000,segment
2014-04-08T22:21:58.1490000,100.365000,segment
2014-04-08T22:23:51.5430000,122.080000,segment
2014-04-08T22:26:29.6630000,291.515000,segment
2014-04-08T22:31:25.6670000,31.934000,segment
2014-04-08T22:32:12.0540000,47.080000,segment
2014-04-08T22:33:05.8860000,71.715000,segment
2014-04-08T22:35:20.4700000,43.431000,segment
2014-04-08T22:36:26.5650000,26.095000,segment
2014-04-08T22:36:58.3530000,27.372000,segment
2014-04-08T22:37:31.1630000,66.971000,segment
2014-04-08T22:38:46.5650000,45.985000,segment
2014-04-08T22:39:37.8790000,270.529000,segment
2014-04-08T22:45:28.3940000,36.131000,segment
2014-04-08T22:46:41.9260000,30.474000,segment
2014-04-08T22:47:58.4670000,79.380000,segment
2014-04-08T22:49:58.8070000,55.839000,segment
2014-04-08T22:50:59.9910000,150.547000,segment
2014-04-08T22:53:35.7790000,34.05,segment
2014-04-08T22:54:15.7790000,362.147,segment
2014-04-08T23:00:50.0230000,140.977,segment
2014-04-08T23:03:17.7300000,101.27,segment
2014-04-08T23:05:26.1210000,144.196,segment
2014-04-08T23:07:53.9260000,131.513,segment
2014-04-08T23:10:25.9750000,94.891000,segment
2014-04-08T23:12:09.2960000,43.978000,segment
2014-04-08T23:13:19.8800000,139.051000,segment
